Sở Thông tin và Truyền thông|843|2020STTTT_PTTT06|Mở|Đã map|Cấp đăng ký thu tín hiệu truyền hình nước ngoài trực tiếp từ vệ tinh;|1|2.001765.000.00.00.H44|Cấp đăng ký thu tín hiệu truyền hình nước ngoài trực tiếp từ vệ tinh
Sở Thông tin và Truyền thông|861|2020STTTT_XBI06|Mở|Đã map|Cấp lại giấy phép hoạt động in;|2|2.001744.000.00.00.H44|Cấp lại giấy phép hoạt động in (cấp địa phương)
Sở Thông tin và Truyền thông|862|2020STTTT_XBI05|Mở|Đã map|Cấp giấy phép hoạt động in;|3|1.004153.000.00.00.H44|Cấp giấy phép hoạt động in (cấp địa phương)
Sở Thông tin và Truyền thông|863|2020STTTT_XBI12|Mở|Đã map|Cấp giấy phép in gia công xuất bản phẩm cho nước ngoài;|4|2.001564.000.00.00.H44|Cấp giấy phép in gia công xuất bản phẩm cho nước ngoài (cấp địa phương)
Sở Thông tin và Truyền thông|864|2020STTTT_XBI14|Mở|Đã map|Cấp giấy phép tổ chức triển lãm, hội chợ xuất bản phẩm;|5||
Sở Thông tin và Truyền thông|865|2020STTTT_XBI13|Mở|Đã map|Cấp giấy phép nhập khẩu xuất bản phẩm không kinh doanh;|6|1.003725.000.00.00.H44|Cấp giấy phép nhập khẩu xuất bản phẩm không kinh doanh (cấp địa phương)
Sở Thông tin và Truyền thông|866|2020STTTT_XBI10|Mở|Đã map|Chuyển nhượng máy photocopy màu, máy in có chức năng photocopy màu;|7||
Sở Thông tin và Truyền thông|867|2020STTTT_XBI11|Mở|Đã map|Cấp giấy phép xuất bản tài liệu không kinh doanh;|8||
Sở Thông tin và Truyền thông|868|2020STTTT_XBI01|Mở|Đã map|Cấp giấy phép hoạt động in xuất bản phẩm;|9|2.001594.000.00.00.H44|Cấp giấy phép hoạt động in xuất bản phẩm (cấp địa phương)
Sở Giáo dục và Đào tạo|1662|1.005092|Mở|Đã map|Cấp bản sao văn bằng, chứng chỉ từ sổ gốc|10||
Sở Giáo dục và Đào tạo|1663|2020SGDDT_VBCC03|Mở|Đã map|Chỉnh sửa nội dung văn bằng, chứng chỉ|11||
Sở Giáo dục và Đào tạo|2021|2020SGDDT_GDDT28.|Mở|Đã map|Thủ tục công nhận trường mầm non đạt chuẩn Quốc gia.|12||
Sở Giáo dục và Đào tạo|2041|2020SGDDT_GDDT29.|Mở|Đã map|Công nhận trường Tiểu học đạt chuẩn quốc gia.|13|1.000280.000.00.00.H44|Công nhận trường tiểu học đạt chuẩn quốc gia
Sở Giáo dục và Đào tạo|2061|2020SGDDT_GDDT30.|Mở|Đã map|Công nhận trường trung học đạt chuẩn Quốc gia.|14|1.000691.000.00.00.H44|Công nhận trường trung học đạt chuẩn Quốc gia
Sở Công Thương|3366|2020.CNTD.02.|Mở|Đã map|Cấp Giấy phép sản xuất rượu công nghiệp &#40;quy mô dưới 3 triệu lít/năm&#41;|15||
Sở Công Thương|3389|2020.CNTD.04.|Mở|Đã map|Cấp sửa đổi, bổ sung Giấy phép sản xuất rượu công nghiệp &#40;quy mô dưới 3 triệu lít/năm&#41;|16||
Sở Công Thương|3430|2020.CNTD.05.|Mở|Đã map|Cấp lại Giấy phép sản xuất rượu công nghiệp &#40;quy mô dưới 3 triệu lít/năm&#41;|17||
Sở Công Thương|3491|2020.CNTD.06.|Mở|Đã map|Cấp lại Giấy chứng nhận đủ điều kiện đầu tư trồng cây thuốc lá|18|2.000640.000.00.00.H44|Cấp lại Giấy chứng nhận đủ điều kiện đầu tư trồng cây thuốc lá
Sở Công Thương|3525|2020.CNTD.03.|Mở|Đã map|Cấp sửa đổi, bổ sung Giấy phép mua bán nguyên liệu thuốc lá|19||
Sở Công Thương|3528|2020.CNTD.09.|Mở|Đã map|Cấp lại Giấy phép mua bán nguyên liệu thuốc lá.|20|2.000622.000.00.00.H44|Cấp lại Giấy phép mua bán nguyên liệu thuốc lá
Sở Khoa học và Công nghệ|3615|2020SKHCN_DNKH01|Mở|Đã map|Thủ tục cấp Giấy chứng nhận doanh nghiệp khoa học và công nghệ |21|2.002278.000.00.00.H44|Thủ tục cấp Giấy chứng nhận doanh nghiệp khoa học và công nghệ (cấp tỉnh)
Sở Khoa học và Công nghệ|3618|2020SKHCN_CGCN001|Mở|Đã map|Thủ tục cấp Giấy chứng nhận đăng ký chuyển giao công nghệ &#40;trừ trường hợp thuộc thẩm quyền của Bộ Khoa học và Công nghệ&#41;|22||
Sở Tài nguyên và Môi trường|3881|2020.KS.07|Mở|Đã map|Thủ tục: Gia hạn Giấy phép thăm dò khoáng sản|23||
Sở Tài nguyên và Môi trường|3882|2020.KS.09|Mở|Đã map|Thủ tục: Trả lại Giấy phép thăm dò khoáng sản hoặc một phần diện tích khu vực thăm dò khoáng sản|24||
Sở Tài nguyên và Môi trường|3883|2020.KS.08|Mở|Đã map|Thủ tục: Chuyển nhượng quyền thăm dò khoáng sản|25||
Sở Tài nguyên và Môi trường|3884|2020.KS.13|Mở|Đã map|Thủ tục: Phê duyệt trữ lượng khoáng sản|26||
Sở Tài nguyên và Môi trường|3903|2020.KS.10|Mở|Đã map|Thủ tục: Gia hạn Giấy phép khai thác khoáng sản|27||
Sở Tài nguyên và Môi trường|3905|2020.KS.11|Mở|Đã map| Thủ tục: Chuyển nhượng quyền khai thác khoáng sản|28||
Sở Tài nguyên và Môi trường|3921|2020.KS.15|Mở|Đã map|Thủ tục: Cấp Giấy phép khai thác tận thu khoáng sản|29||
